,mbta_part_number,description,mfg,mfg_itm_id
30233,31423091,"DRILL 11/8"" FLAT HEAD HIGH SPEED TRACK #2871",GENERIC,N.V.TWIST DRIL
30234,31423091,"DRILL 11/8"" FLAT HEAD HIGH SPEED TRACK #2871",N.Y.T-DRIL,2871
30235,31423092,"DRILL 1 1/4"" FLAT HEADED HIGH SPEED TRACK",GENERIC,N.V.TWIST DRIL
30236,31423092,"DRILL 1 1/4"" FLAT HEADED HIGH SPEED TRACK",GENERIC,N-Y-T-D 2871
30237,31423093,"DRILL 1 1/2"" FLAT HEADED HIGH SPEED TRACK",GENERIC,N.V.TWIST DRIL
30238,31423093,"DRILL 1 1/2"" FLAT HEADED HIGH SPEED TRACK",GENERIC,32044AA
30239,31423094,"DRILL-GREENLEE 48 PT. 5/8"" X 18"" POWER BELL HANGER",GENERIC,N.V.TWIST DRIL
30240,31423094,"DRILL-GREENLEE 48 PT. 5/8"" X 18"" POWER BELL HANGER",IRWIN,415T
30241,31423095,DRILL-1/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,CHIC-LATRO,46608
30242,31423095,DRILL-1/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,TITAN USA,CD50008
30243,31423095,DRILL-1/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,UNIONBUTTE,46-10253
30244,31423096,DRILL-3/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,CHICA.LATR,46624
30245,31423096,DRILL-3/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,GRAINGER,1G897
30246,31423096,DRILL-3/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,MSC,81191249
30247,31423096,DRILL-3/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,TITAN USA,CD50024
30248,31423096,DRILL-3/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,UNION BUTT,46-10269
30249,31423096,DRILL-3/8 INCH COBALT FOR ELECTRICAL MAINTENANCE,VIKING DRILL,08210
30250,31423097,DRILL-1/4 COBALT TY J STR SHK 135 SP PT TREATED,CHICAGO LA,46616
30251,31423097,DRILL-1/4 COBALT TY J STR SHK 135 SP PT TREATED,MORSE,17178
30252,31423097,DRILL-1/4 COBALT TY J STR SHK 135 SP PT TREATED,TITAN USA,CD50016
30253,31423097,DRILL-1/4 COBALT TY J STR SHK 135 SP PT TREATED,UNIONBUTTE,46-10261
30254,31423098,DRILL-#7 COBALT AIRCR. TY J JOB LTH (12 P/PG),CHI-LATROB,46677
30255,31423098,DRILL-#7 COBALT AIRCR. TY J JOB LTH (12 P/PG),MORSE,2340 EDP 17164
30256,31423098,DRILL-#7 COBALT AIRCR. TY J JOB LTH (12 P/PG),TITAN USA,CD50207
30257,31423098,DRILL-#7 COBALT AIRCR. TY J JOB LTH (12 P/PG),UNIONBUTTE,46-10284
30258,31423100,"DRILL-3/16"" X 3"" FAST SPIRAL CARBIDE",JOSEPH,LA0163
30259,31423100,"DRILL-3/16"" X 3"" FAST SPIRAL CARBIDE",RAWL,8506
30260,31423101,"DRILL-1/4"" X 4"" FAST SPIRAL CARBIDE",HANNIBAL CARBIDE USA,HNB 68216
30261,31423101,"DRILL-1/4"" X 4"" FAST SPIRAL CARBIDE",MSC,78907946
30262,31423101,"DRILL-1/4"" X 4"" FAST SPIRAL CARBIDE",RAWL,08508
30263,31423103,"DRILL-5/16 X 4"" FAST SPIRAL (RAWL)",HANNIBAL CARBIDE,68220
30264,31423103,"DRILL-5/16 X 4"" FAST SPIRAL (RAWL)",RAWL,8512
30265,31423104,"DRILL-1/2"" X 6"" FAST SPIRAL CARBIDE (RAWL)",HANNIBAL CARBIDE,68234
30266,31423104,"DRILL-1/2"" X 6"" FAST SPIRAL CARBIDE (RAWL)",RAWL,HANNIBAL CARBIDE 68234
30267,31423104,"DRILL-1/2"" X 6"" FAST SPIRAL CARBIDE (RAWL)",RAWL,8520
30268,31423105,"DRILL- 1/2"" X6"" W/1/4 SHANK FAST SPIRAL CARBID RAWL",FRAN DAN,LA0101
30269,31423105,"DRILL- 1/2"" X6"" W/1/4 SHANK FAST SPIRAL CARBID RAWL",GENERIC,8522
30270,31423106,"DRILL - 5/8"" X 6"" FAST SPIRAL CARBIDE (RAWL)",RAWL,8526
